route_id,name,ref,from_stop,to_stop,operator,network,route_type,coord_count
15098904,1-76 วงกลม : หมู่บ้านบัวขาว - มีนบุรี (วนซ้าย),1-76,,,TSB,TSB,bus,63
15098906,197 (1-52) วงกลม : มีนบุรี - คู้บอน - หทัยราษฎร์ (วนขวา),197 (1-52),,,TSB,TSB,bus,20
15098907,197 (1-52) วงกลม : มีนบุรี - คู้บอน - หทัยราษฎร์ (วนซ้าย),197 (1-52),,,TSB,TSB,bus,19
15261468,18 (2-3) ตลาดท่าอิฐ - อนุสาวรีย์ชัยมรภูมิ,18 (2-3),,,TSB,TSB,bus,14
15261469,18 (2-3) อนุสาวรีย์ชัยสมรภูมิ - ตลาดท่าอิฐ,18 (2-3),,,TSB,TSB,bus,16
15261660,210 (2-27) เมืองทองธานี - สถานีรถไฟฟ้าบางหว้า,210 (2-27),,,TSB,TSB,bus,24
15261661,210 (2-27) สถานีรถไฟฟ้าบางหว้า - เมืองทองธานี,210 (2-27),,,TSB,TSB,bus,42
15268646,2-17 วงกลม : สถานีรถไฟบางซื่อ - ม.เกษตรศาสตร์ (วนขวา),2-17,,,TSB,TSB,bus,38
15268647,2-17 วงกลม : สถานีรถไฟบางซื่อ - ม.เกษตรศาสตร์ (วนซ้าย),2-17,,,TSB,TSB,bus,30
15268703,1-33 บางเขน - สถานีรถไฟบางซื่อ,1-33,,,TSB,TSB,bus,9
15268704,1-33 สถานีรถไฟบางซื่อ - บางเขน,1-33,,,TSB,TSB,bus,9
15283716,1-32E บางเขน - สถานีรถไฟฟ้าตลาดพลู,1-32E,,,TSB,TSB,bus,27
15283717,1-32E สถานีรถไฟฟ้าตลาดพลู - บางเขน,1-32E,,,TSB,TSB,bus,23
15283797,152 (1-49) พระจอมเกล้าลาดกระบัง - แฮปปี้แลนด์,152 (1-49),,,TSB,TSB,bus,65
15283798,152 (1-49) แฮปปี้แลนด์ - พระจอมเกล้าลาดกระบัง,152 (1-49),,,TSB,TSB,bus,38
15283992,92 (1-41) เคหะร่มเกล้า - แฮปปี้แลนด์,92 (1-41),,,TSB,TSB,bus,67
15283993,92 (1-41) แฮปปี้แลนด์ - เคหะร่มเกล้า,92 (1-41),,,TSB,TSB,bus,61
15283995,S3 (559) รังสิต - ท่าอากาศยานสุวรรณภูมิ,S3 (559),,,,TSB,bus,23
15283996,S3 (559) ท่าอากาศยานสุวรรณภูมิ - รังสิต,S3 (559),,,,TSB,bus,31
15283998,8 (2-38) แฮปปี้แลนด์ - สะพานพุทธ,8 (2-38),,,TSB,TSB,bus,36
15283999,8 (2-38) สะพานพุทธ - แฮปปี้แลนด์,8 (2-38),,,TSB,TSB,bus,38
15284808,4-68 สวนผัก - ถนนตก,4-68,,,TSB,TSB,bus,44
15284809,4-68 ถนนตก - สวนผัก,4-68,,,TSB,TSB,bus,48
15321436,4 (3-36) ท่าเรือคลองเตย - ท่าน้ำภาษีเจริญ,4 (3-36),,,TSB,TSB,bus,28
15321437,4 (3-36) ท่าน้ำภาษีเจริญ - ท่าเรือคลองเตย,4 (3-36),,,TSB,TSB,bus,29
15338096,84 (4-46) วัดไร่ขิง - สถานีรถไฟฟ้ากรุงธนบุรี,84 (4-46),,,TSB,TSB,bus,76
15338097,84 (4-46) สถานีรถไฟฟ้ากรุงธนบุรี - วัดไร่ขิง,84 (4-46),,,TSB,TSB,bus,72
15338099,77 (3-45) เซ็นทรัลพระราม 3 - หมอชิต 2,77 (3-45),,,TSB,TSB,bus,30
15338100,77 (3-45) หมอชิต 2 - เซ็นทรัลพระราม 3,77 (3-45),,,TSB,TSB,bus,36
15344979,120 (4-21) สมุทรสาคร - แยกบ้านแขก,120 (4-21),,,Ampairungroj,TSB,bus,57
15344980,120 (4-21) แยกบ้านแขก - สมุทรสาคร,120 (4-21),,,Ampairungroj,TSB,bus,47
15348633,529E (4-29E) แสมดำ - หมอชิต 2 (ทางด่วน),529E (4-29E),,,TSB,TSB,bus,56
15348634,529E (4-29E) หมอชิต 2 - แสมดำ (ทางด่วน),529E (4-29E),,,TSB,TSB,bus,56
15409047,122 (2-48) แฮปปี้แลนด์ - หมอชิต 2,122 (2-48),แฮปปี้แลนด์,หมอชิต 2,smart bus,smart bus,bus,32
15409048,122 (2-48) หมอชิต 2 - แฮปปี้แลนด์,Unknown,หมอชิต 2,แฮปปี้แลนด์,smart bus,smart bus,bus,41
15409050,126 (1-13) ศูนย์ราชการฯ แจ้งวัฒนะ - คลองตัน,126 (1-13),,,smart bus,smart bus,bus,41
15409051,126 (1-13) คลองตัน - ศูนย์ราชการฯ แจ้งวัฒนะ,126 (1-13),,,smart bus,smart bus,bus,33
15409379,167 (4-26) เคหะธนบุรี - สวนลุมพินี,167 (4-26),,,smart bus,smart bus,bus,30
15409380,167 (4-26) สวนลุมพินี - เคหะธนบุรี,167 (4-26),,,smart bus,smart bus,bus,30
15409382,1-31 ศูนย์ราชการฯ แจ้งวัฒนะ - คลองหลวง,1-31,,,TSB,TSB,bus,7
15409383,1-31 คลองหลวง - ศูนย์ราชการฯ แจ้งวัฒนะ,1-31,,,TSB,TSB,bus,12
15410324,12 (3-37) ศูนย์วัฒนธรรมแห่งประเทศไทย - สถานีรถไฟฟ้าสนามไชย,12 (3-37),,,TSB,TSB,bus,25
15410325,12 (3-37) สถานีรถไฟฟ้าสนามไชย - ศูนย์วัฒนธรรมแห่งประเทศไทย,12 (3-37),,,TSB,TSB,bus,16
15410327,71 (1-39) สวนสยาม - คลองเตย,71 (1-39),,,TSB,TSB,bus,41
15410328,71 (1-39) คลองเตย - สวนสยาม,71 (1-39),,,TSB,TSB,bus,50
15410330,69E (2-18E) ตลาดท่าอิฐ - รามคำแหง,69E (2-18E),,,TSB,TSB,bus,19
15410331,69E (2-18E) รามคำแหง - ตลาดท่าอิฐ,69E (2-18E),,,TSB,TSB,bus,12
15414367,25 (3-6) โรงเรียนปทุมคงคา สมุทรปราการ - เอกมัย,25 (3-6),โรงเรียนปทุมคงคา สมุทรปราการ,เอกมัย,Sai 25 Ruamjai,TSB,bus,61
15414368,25 (3-6) เอกมัย - โรงเรียนปทุมคงคา สมุทรปราการ,25 (3-6),เอกมัย,โรงเรียนปทุมคงคา สมุทรปราการ,Sai 25 Ruamjai,TSB,bus,60
15414999,2-34 วงกลม : สถานีรถไฟสามเสน - ดินแดง (วนขวา),2-34,,,TSB,TSB,bus,10
15415000,2-34 วงกลม : สถานีรถไฟสามเสน - ดินแดง (วนซ้าย),Unknown,,,,TSB,bus,25
15419265,175 (2-22) ท่าน้ำนนทบุรี - ถนนตก,175 (2-22),,,TSB,TSB,bus,33
15419266,175 (2-22) ถนนตก - ท่าน้ำนนทบุรี,175 (2-22),,,TSB,TSB,bus,30
15419268,97 (2-15) กระทรวงสาธารณสุข - โรงพยาบาลสงฆ์,97 (2-15),,,TSB,TSB,bus,25
15419269,97 (2-15) โรงพยาบาลสงฆ์ - กระทรวงสาธารณสุข,97 (2-15),,,TSB,TSB,bus,29
15431613,82 (4-15) ท่าน้ำพระประแดง - บางลำพู,82 (4-15),ท่าน้ำพระประแดง,บางลำพู,TSB,TSB,bus,33
15431614,82 (4-15) บางลำพู - ท่าน้ำพระประแดง,82 (4-15),บางลำพู,ท่าน้ำพระประแดง,TSB,TSB,bus,32
15431616,88 (4-17) มจธ.บางขุนเทียน - สถานีรถไฟฟ้าตลาดพลู,88 (4-17),,,TSB,TSB,bus,41
15431617,88 (4-17) สถานีรถไฟฟ้าตลาดพลู - มจธ.บางขุนเทียน,88 (4-17),,,TSB,TSB,bus,30
15441884,140 (4-23E) แสมดำ - อนุสาวรีย์ชัยสมรภูมิ,140 (4-23E),,,TSB,TSB,bus,38
15441885,140 (4-23E) อนุสาวรีย์ชัยสมรภูมิ - แสมดำ,140 (4-23E),,,TSB,TSB,bus,45
15455923,57 (4-41) วงกลม : ตลิ่งชัน - วงเวียนใหญ่ (วนขวา),57 (4-41),,,TSB,TSB,bus,25
15455924,57 (4-41) วงกลม : ตลิ่งชัน - วงเวียนใหญ่ (วนซ้าย),57 (4-41),,,TSB,TSB,bus,23
15456065,81 (4-45) อ้อมน้อย - ท่าราชวรดิฐ,81 (4-45),,,TSB,TSB,bus,64
15456066,81 (4-45) ท่าราชวรดิฐ - อ้อมน้อย,81 (4-45),,,TSB,TSB,bus,56
15533077,96 (1-42) มีนบุรี - หมอชิต 2,96 (1-42),,,BMTA,BMTA,bus,50
15533078,96 (1-42) หมอชิต 2 - มีนบุรี,96 (1-42),,,BMTA,BMTA,bus,66
15533080,104 (2-16) ปากเกร็ด - หมอชิต 2,104 (2-16),,,smart bus,smart bus,bus,24
15533081,104 (2-16) หมอชิต 2 - ปากเกร็ด,104 (2-16),,,smart bus,smart bus,bus,16
15533083,150 (1-15) ปากเกร็ด - มีนบุรี,150 (1-15),,,smart bus,smart bus,bus,34
15533084,150 (1-15) มีนบุรี - ปากเกร็ด,150 (1-15),,,smart bus,smart bus,bus,29
15559782,รถป๊อป สาย 5,ป็อป5,ศาลาพระเกี้ยว,ระเบียงจามจุรี,Chulalongkorn University,,bus,17
15559804,รถป๊อป สาย 3,ป๊อป3,ศาสาพระเกี้ยว,"MBK, คณะแพทย์",Chulalongkorn University,,bus,4
15559837,รถป๊อป สาย 4,ป๊อป4,ศาลาพระเกี้ยว,สามย่านมิตรทาวน์,Chulalongkorn University,,bus,12
15591202,127 (2-19) บางบัวทอง - บางลำพู,127 (2-19),,,smart bus,smart bus,bus,27
15591203,127 (2-19) บางลำพู - บางบัวทอง,127 (2-19),,,smart bus,smart bus,bus,37
15650473,80A (4-44) หมู่บ้าน วปอ.11 - สวนหลวงพระราม 8,80A (4-44),,,Charoen Bus,TSB,bus,52
15650474,80A (4-44) สวนหลวงพระราม 8 - หมู่บ้าน วปอ.11,80A (4-44),,,Charoen Bus,TSB,bus,56
15650672,85 (4-16) บิ๊กซี พระประแดง - สถานีรถไฟธนบุรี,85 (4-16),,,smart bus,smart bus,bus,32
15650673,85 (4-16) สถานีรถไฟธนบุรี - บิ๊กซี พระประแดง,85 (4-16),,,smart bus,smart bus,bus,31
15677809,S6 (555) กรุงเทพอภิวัฒน์ - ท่าอากาศยานสุวรรณภูมิ,S6 (555),,,,TSB,bus,18
15677810,S6 (555) ท่าอากาศยานสุวรรณภูมิ - กรุงเทพอภิวัฒน์,S6 (555),,,,TSB,bus,37
15737056,89 (4-47) (89) สายใต้ใหม่ - มทร.กรุงเทพ,89 (4-47),,,smart bus,smart bus,bus,65
15737057,89 (4-47) มทร.กรุงเทพ - สายใต้ใหม่,89 (4-47),,,smart bus,smart bus,bus,63
15762617,42 (4-10) วงกลม : เสาชิงช้า - ท่าพระ (วนขวา),42 (4-10),,,Mahachol Transport,TSB,bus,20
15762618,42 (4-10) วงกลม : เสาชิงช้า - ท่าพระ (วนซ้าย),42 (4-10),,,Mahachol Transport,TSB,bus,26
